id,brand,model,url,type,formfactor,platform,classname,library_dependency,width,height,v,i,w,dependency,category,portname,porttype,functiontype,functionpintype,v_min,v_max,x,y,connectivity,compatibility,action,param,min,max,unit,constraint,value,valuemin,valuemax,valueunit,valueconstraint,count
,,,,,,,,,,,,,,,,GND,GROVE,POWER,GND,3.3,5,132.212,22.0465,,,,,,,,,,,,,,
Grove-101020003,SeeedStudio,Grove - Button,https://www.seeedstudio.com/Grove-Button-p-766.html,PERIPHERAL,GROVE,GROVE_ARDUINO,MP_GROVE_101020003,,128,148,,,,,,SIG,GROVE,GPIO_1,INOUT,3.3,5,31.785,42.489,GPIO_1,Button,Wait For Press,isPressed,,,,,,,,,,
,,,,,,,,,,,,,,,,GND,GROVE,POWER,GND,3.3,5,2.984,0.002,,,Wait For Release,isReleased,,,,,,,,,,
,,,,,,,,,,,,,,,,VCC,GROVE,POWER,VCC,3.3,5,117.42,60.299,,,,,,,,,,,,,,
Grove-103020005,SeeedStudio,Grove - Relay,https://www.seeedstudio.com/Grove-Relay-p-769.html,PERIPHERAL,GROVE,GROVE_ARDUINO,MP_GROVE_103020005,,128,148,,,,,,VCC,GROVE,POWER,VCC,3.3,5,1.531,19.764,,Relay Module,On,,,,,,,,,,,
,,,,,,,,,,,,,,,,SIG,GROVE,GPIO_1,INOUT,3.3,5,45.2,31.9095,GPIO_1,,Off,,,,,,,,,,,
,,,,,,,,,,,,,,,,GND,GROVE,POWER,GND,3.3,5,132.212,22.0465,,,,,,,,,,,,,,
Grove-101020020,SeeedStudio,Grove - PIR Motion Sensor,https://www.seeedstudio.com/Grove-PIR-Motion-Sensor%EF%BC%88BISS0001%EF%BC%89-p-802.html,PERIPHERAL,GROVE,GROVE_ARDUINO,MP_GROVE_101020020,,128,148,,,,,,SIG,GROVE,GPIO_1,INOUT,3,5,31.785,42.489,GPIO_1,Presence,Detect Human,isDetected,,,,,,,,,,
,,,,,,,,,,,,,,,,GND,GROVE,POWER,GND,3,5,2.984,0.002,,,No Human,isNotDetected,,,,,,,,,,
,,,,,,,,,,,,,,,,VCC,GROVE,POWER,VCC,3,5,117.42,60.299,,,,,,,,,,,,,,
Grove-101020054,SeeedStudio,Grove - 3-Axis Digital Accelerometer(+-16g),http://wiki.seeed.cc/Grove-3-Axis_Digital_Accelerometer-16g/,PERIPHERAL,GROVE,GROVE_ARDUINO,MP_GROVE_101020054,adafruit/Adafruit_ADXL345,128,148,,,,,,SDA,GROVE,I2C_1,I2C_SDA,3,5,321,53.3,I2C_1,Accelerometer,Compare,,,,,,X,-16,16,METERPERSECSQUARE,,
,,,,,,,,adafruit/Adafruit_Sensor,,,,,,,,SCL,GROVE,I2C_1,I2C_SCL,3,5,321,67.8,,,,,,,,,Y,-16,16,METERPERSECSQUARE,,
,,,,,,,,,,,,,,,,VCC,GROVE,POWER,VCC,3,5,321,82.3,,,,,,,,,Z,-16,16,METERPERSECSQUARE,,
,,,,,,,,,,,,,,,,GND,GROVE,POWER,GND,3,5,321,96.8,,,,,,,,,Magnitude,0,60,METERPERSECSQUARE,,
Grove-101020011,SeeedStudio,Grove - Temperature & Humidity Sensor (DHT11),https://www.seeedstudio.com/Grove-Temperature-%26amp%3B-Humidity-Sensor-%EF%BC%88DHT11%EF%BC%89-p-745.html,PERIPHERAL,GROVE,GROVE_ARDUINO,MP_GROVE_101020011,adafruit/DHT-sensor-library,128,148,,,,,,VCC,GROVE,POWER,VCC,3.3,5,1.531,19.764,,Temperature,Compare,,,,,,Temperature,0,50,CELSIUS,,
,,,,,,,,,,,,,,,,SIG,GROVE,ANALOG_1,INOUT,3.3,5,45.2,31.9095,ANALOG_1,Humidity,Compare,,,,,,Humidity,20,80,PERCENT,,
,,,,,,,,,,,,,,,,GND,GROVE,POWER,GND,3.3,5,132.212,22.0465,,,,,,,,,,,,,,
Grove-101020010,SeeedStudio,Grove - Ultrasonic Ranger,https://www.seeedstudio.com/Grove-Ultrasonic-Ranger-p-960.html,PERIPHERAL,GROVE,GROVE_ARDUINO,MP_GROVE_101020010,,128,148,,,,,,VCC,GROVE,POWER,VCC,3.3,5,1.531,19.764,,Distance,Compare,,,,,,Distance,3,350,CENTIMETER,,
,,,,,,,,,,,,,,,,SIG,GROVE,ANALOG_1,INOUT,3.3,5,45.2,31.9095,ANALOG_1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,GND,GROVE,POWER,GND,3.3,5,132.212,22.0465,,,,,,,,,,,,,,
MP-0000,MakerPlayground,BaseBoard,http://www.makerplayground.io/library/MP-0000,CONTROLLER,MP_CONTROLLER,MP_ARDUINO,,,425,303,,,,,,Internal,MP,MP_INT_UART_1,INOUT,5,5,0,0,MP_INT_UART_1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,D1,MP,MP_PWM_SINGLE_1,INOUT,5,5,0,0,MP_PWM_SINGLE_1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,MP,MP_PWM_DUAL_1,INOUT,5,5,0,0,MP_PWM_SINGLE_2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,MP,MP_GPIO_SINGLE_1,INOUT,5,5,0,0,MP_PWM_SINGLE_3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,MP,MP_GPIO_DUAL_1,INOUT,5,5,0,0,MP_PWM_SINGLE_4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,D2,MP,MP_PWM_SINGLE_2,INOUT,5,5,0,0,MP_PWM_DUAL_1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,MP,MP_PWM_DUAL_2,INOUT,5,5,0,0,MP_PWM_DUAL_2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,MP,MP_GPIO_SINGLE_2,INOUT,5,5,0,0,MP_PWM_DUAL_3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,MP,MP_GPIO_DUAL_2,INOUT,5,5,0,0,MP_PWM_DUAL_4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,D3,MP,MP_PWM_SINGLE_3,INOUT,5,5,0,0,MP_GPIO_SINGLE_5,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,MP,MP_PWM_DUAL_3,INOUT,5,5,0,0,MP_GPIO_SINGLE_6,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,MP,MP_GPIO_SINGLE_3,INOUT,5,5,0,0,MP_GPIO_DUAL_5,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,MP,MP_GPIO_DUAL_3,INOUT,5,5,0,0,MP_GPIO_DUAL_6,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,D4,MP,MP_PWM_SINGLE_4,INOUT,5,5,0,0,MP_ANALOG_SINGLE_1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,MP,MP_PWM_DUAL_4,INOUT,5,5,0,0,MP_ANALOG_SINGLE_2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,MP,MP_GPIO_SINGLE_4,INOUT,5,5,0,0,MP_ANALOG_DUAL_1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,MP,MP_GPIO_DUAL_4,INOUT,5,5,0,0,MP_ANALOG_DUAL_2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,D5/A1,MP,MP_GPIO_SINGLE_5,INOUT,5,5,0,0,MP_I2C_1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,MP,MP_GPIO_DUAL_5,INOUT,5,5,0,0,MP_I2C_2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,MP,MP_ANALOG_SINGLE_1,INOUT,5,5,0,0,MP_I2C_3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,MP,MP_ANALOG_DUAL_1,INOUT,5,5,0,0,MP_I2C_4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,D6/A2,MP,MP_GPIO_SINGLE_6,INOUT,5,5,0,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,MP,MP_GPIO_DUAL_6,INOUT,5,5,0,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,MP,MP_ANALOG_SINGLE_2,INOUT,5,5,0,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,MP,MP_ANALOG_DUAL_2,INOUT,5,5,0,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,I2C1,MP,MP_I2C_1,INOUT,5,5,0,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,I2C2,MP,MP_I2C_2,INOUT,5,5,0,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,I2C3,MP,MP_I2C_3,INOUT,5,5,0,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,I2C4,MP,MP_I2C_4,INOUT,5,5,0,0,,,,,,,,,,,,,,
MP-0001,MakerPlayground,LED,http://www.makerplayground.io/library/MP-0001,PERIPHERAL,MP_DEVICE,MP_ARDUINO,MP_MP_0001,,0,0,,,,,,Port,MP,MP_PWM_SINGLE_1,INOUT,5,5,0,0,MP_PWM_SINGLE_1,LED,On,Brightness,0,100,PERCENT,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Off,,,,,,,,,,,
MP-0002,MakerPlayground,RGB LED,http://www.makerplayground.io/library/MP-0002,PERIPHERAL,MP_DEVICE,MP_ARDUINO,MP_MP_0002,,0,0,,,,,,Port,MP,MP_GPIO_DUAL_1,INOUT,5,5,0,0,MP_GPIO_DUAL_1,RGB LED,On,Red,0,255,NOT_SPECIFIED,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Green,0,255,NOT_SPECIFIED,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Blue,0,255,NOT_SPECIFIED,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Brightness,0,100,NOT_SPECIFIED,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Off,,,,,,,,,,,
MP-0003,MakerPlayground,Buzzer,http://www.makerplayground.io/library/MP-0003,PERIPHERAL,MP_DEVICE,MP_ARDUINO,MP_MP_0003,,0,0,,,,,,Port,MP,MP_PWM_SINGLE_1,INOUT,5,5,0,0,MP_PWM_SINGLE_1,Buzzer,Play Tone,Tone Frequency,0,20000,HERTZ,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Duration,0,1000,SECOND,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Beep,,,,,,,,,,,
MP-0004,MakerPlayground,Load Driver,http://www.makerplayground.io/library/MP-0004,PERIPHERAL,MP_DEVICE,MP_ARDUINO,MP_MP_0004,,0,0,,,,,,Port,MP,MP_PWM_SINGLE_1,INOUT,5,5,0,0,MP_PWM_SINGLE_1,Load Driver,On,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Off,,,,,,,,,,,
MP-0005,MakerPlayground,Light Sensor,http://www.makerplayground.io/library/MP-0005,PERIPHERAL,MP_DEVICE,MP_ARDUINO,MP_MP_0005,,0,0,,,,,,Port,MP,MP_ANALOG_SINGLE_1,INOUT,5,5,0,0,MP_ANALOG_SINGLE_1,Light,Compare,,,,,,Percent,0,100,PERCENT,,
MP-0006,MakerPlayground,Button,http://www.makerplayground.io/library/MP-0006,PERIPHERAL,MP_DEVICE,MP_ARDUINO,MP_MP_0006,,0,0,,,,,,Port,MP,MP_GPIO_SINGLE_1,INOUT,5,5,0,0,MP_GPIO_SINGLE_1,Button,Wait For Press,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Wait For Release,,,,,,,,,,,
MP-0007,MakerPlayground,Trimpot,http://www.makerplayground.io/library/MP-0007,PERIPHERAL,MP_DEVICE,MP_ARDUINO,MP_MP_0007,,0,0,,,,,,Port,MP,MP_ANALOG_SINGLE_1,INOUT,5,5,0,0,MP_ANALOG_SINGLE_1,POT,Compare,,,,,,Percent,0,100,PERCENT,,
MP-0008,MakerPlayground,Accelerometer/Gyroscope,http://www.makerplayground.io/library/MP-0008,PERIPHERAL,MP_DEVICE,MP_ARDUINO,MP_MP_0008,SparkFun/SparkFun_LSM6DS3_Arduino_Library,0,0,,,,,,Port,MP,MP_I2C_1,INOUT,5,5,0,0,MP_I2C_1,Accelerometer,Compare,,,,,,Accel_X,-100,100,METERPERSECSQUARE,,
,,,,,,,,Wire,,,,,,,,,,,,,,,,,,,,,,,,Accel_Y,-100,100,METERPERSECSQUARE,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accel_Z,-100,100,METERPERSECSQUARE,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accel_Magnitude,0,100,METERPERSECSQUARE,,
,,,,,,,,,,,,,,,,,,,,,,,,,Gyroscope,Compare,,,,,,Gyro_X,-200,200,RADIUSPERSEC,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gyro_Y,-200,200,RADIUSPERSEC,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gyro_Z,-200,200,RADIUSPERSEC,,
MP-0009,MakerPlayground,Temperature/Humidity,http://www.makerplayground.io/library/MP-0009,PERIPHERAL,MP_DEVICE,MP_ARDUINO,MP_MP_0009,Sensirion/arduino-sht,0,0,,,,,,Port,MP,MP_I2C_1,INOUT,5,5,0,0,MP_I2C_1,Temperature,Compare,,,,,,Temperature,-500,500,CELSIUS,,
,,,,,,,,Wire,,,,,,,,,,,,,,,,,Humidity,Compare,,,,,,Humidity,0,100,PERCENT,,
MP-0010,MakerPlayground,Distance/Gesture,http://www.makerplayground.io/library/MP-0010,PERIPHERAL,MP_DEVICE,MP_ARDUINO,MP_MP_0010,SparkFun/SparkFun_APDS-9960_Sensor_Arduino_Library,0,0,,,,,,Port,MP,MP_I2C_1,INOUT,5,5,0,0,MP_I2C_1,Distance,Compare,,,,,,,,,,,
,,,,,,,,Wire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MP-0011,MakerPlayground,Microphone,http://www.makerplayground.io/library/MP-0011,PERIPHERAL,MP_DEVICE,MP_ARDUINO,MP_MP_0011,,0,0,,,,,,Port,MP,MP_ANALOG_SINGLE_1,INOUT,5,5,0,0,MP_ANALOG_SINGLE_1,Sound,Compare,,,,,,SoundLevel,0,100,PERCENT,,
MP-0012,MakerPlayground,7-Segment Display,http://www.makerplayground.io/library/MP-0012,PERIPHERAL,MP_DEVICE,MP_ARDUINO,MP_MP_0012,nickgammon/SendOnlySoftwareSerial,0,0,,,,,,Port,MP,MP_GPIO_SINGLE_1,INOUT,5,5,0,0,MP_GPIO_SINGLE_1,7 Segment,Show Value,Value,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Show Number,Number,-999,9999,NOT_SPECIFIED,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Off,,,,,,,,,,,
MP-0013,MakerPlayground,Relay,http://www.makerplayground.io/library/MP-0013,PERIPHERAL,MP_DEVICE,MP_ARDUINO,MP_MP_0013,,0,0,,,,,,Port,MP,MP_GPIO_SINGLE_1,INOUT,5,5,0,0,MP_GPIO_SINGLE_1,Relay Module,On,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Off,,,,,,,,,,,
MP-0014,MakerPlayground,Soil-Moisture Sensor,http://www.makerplayground.io/library/MP-0014,PERIPHERAL,MP_DEVICE,MP_ARDUINO,MP_MP_0014,,0,0,,,,,,Port,MP,MP_ANALOG_DUAL_1,INOUT,5,5,0,0,MP_ANALOG_DUAL_1,Soil Moisture,Compare,,,,,,Percent,0,100,PERCENT,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MP-0016,MakerPlayground,Servo Motor,http://www.makerplayground.io/library/MP-0016,PERIPHERAL,MP_DEVICE,MP_ARDUINO,MP_MP_0016,,0,0,,,,,,Port,MP,MP_GPIO_SINGLE_1,INOUT,5,5,0,0,MP_GPIO_SINGLE_1,Servo,Move To,Degree,0,180,DEGREE,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grove-113020010,SeeedStudio,Grove - Uart Wifi,https://www.seeedstudio.com/s/Grove-Uart-Wifi-p-2495.html,PERIPHERAL,GROVE,ARDUINO,MP_GROVE_113020010,blynkk/blynk-library,128,148,,,,,,VIN,GROVE,POWER,VCC,3.3,3.3,14.5,69,,Blynk,Push data,Virtual Pin,,,,0,,,,,,
,,,,,,,,itead/ITEADLIB_Arduino_WeeESP8266,,,,,,,,GND,GROVE,POWER,GND,3.3,3.3,28.9,69,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,RX,GROVE,GPIO_1,INOUT,3.3,3.3,43.3,69,GPIO_1,,,,,,,2,,,,,,
,,,,,,,,,,,,,,,,TX,GROVE,GPIO_2,INOUT,3.3,3.3,57.7,69,GPIO_2,,,,,,,3,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Data,-32768,32767,NOT_SPECIFIED,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Push value,Virtual Pin,,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Value,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Check value,Virtual Pin,,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Data,-32768,32767,NUMBER,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Compare,,,,,,VirtualPin0,-32768,32767,NOT_SPECIFIED,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VirtualPin1,-32768,32767,NOT_SPECIFIED,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VirtualPin2,-32768,32767,NOT_SPECIFIED,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VirtualPin3,-32768,32767,NOT_SPECIFIED,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VirtualPin4,-32768,32767,NOT_SPECIFIED,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VirtualPin5,-32768,32767,NOT_SPECIFIED,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VirtualPin6,-32768,32767,NOT_SPECIFIED,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VirtualPin7,-32768,32767,NOT_SPECIFIED,,
MP-0015,MakerPlayground,Maker Playground - Wifi Module,http://www.makerplayground.io/library/MP-0015,PERIPHERAL,MP_DEVICE,MP_ARDUINO,MP_MP_0015,blynkk/blynk-library,128,148,,,,,,Port,MP,MP_INT_UART_1,INOUT,5,5,0,0,MP_INT_UART_1,Blynk,Push data,Virtual Pin,,,,0,,,,,,
,,,,,,,,itead/ITEADLIB_Arduino_WeeESP8266,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Data,-32768,32767,NOT_SPECIFIED,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Push value,Virtual Pin,,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Value,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Check value,Virtual Pin,,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Data,-32768,32767,NUMBER,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Compare,,,,,,VirtualPin0,-32768,32767,NOT_SPECIFIED,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VirtualPin1,-32768,32767,NOT_SPECIFIED,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VirtualPin2,-32768,32767,NOT_SPECIFIED,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VirtualPin3,-32768,32767,NOT_SPECIFIED,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VirtualPin4,-32768,32767,NOT_SPECIFIED,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VirtualPin5,-32768,32767,NOT_SPECIFIED,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VirtualPin6,-32768,32767,NOT_SPECIFIED,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VirtualPin7,-32768,32767,NOT_SPECIFIED,,
MP-0017,MakerPlayground,Water Flow Sensor,http://www.makerplayground.io/library/MP-0017,PERIPHERAL,MP_DEVICE,MP_ARDUINO,MP_MP_0017,NicoHood/PinChangeInterrupt,0,0,,,,,,Port,MP,MP_GPIO_SINGLE_1,INOUT,5,5,0,0,MP_GPIO_SINGLE_1,Flow Sensor,Detect Water Flow,,,,,,Total Water Amount,0,1000000,MILLILITER,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flow Rate,0,100,MILLILITERPERSECOND,,
MP-0018,MakerPlayground,Ultrasonic Sensor Module HY-SRF05,http://www.makerplayground.io/library/MP-0018,PERIPHERAL,MP_DEVICE,MP_ARDUINO,MP_MP_0018,,0,0,,,,,,Port,MP,MP_GPIO_DUAL_1,INOUT,5,5,0,0,MP_GPIO_DUAL_1,Distance,Compare,,,,,,Distance,0.02,4.5,METER,,
